"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"96",3908.93352647428,3.82912187904176,0.067156737435522,57.0176876552132,0,0
"119",64696.6253138683,3.09923527739077,0.0535219188254772,57.9059074375989,0,0
"124",28469.4068614672,-2.77383831258613,0.0598763024246347,-46.3261457415062,0,0
"144",3452.73247780239,2.60886547999848,0.0665548493542762,39.1987286472742,0,0
"145",2674.95260339438,3.13971013241129,0.0729973589755395,43.0112839214274,0,0
"186",25697.669359285,-2.10613995417529,0.0501145708786742,-42.026498825545,0,0
"189",2903.84445108616,2.99424550505838,0.0722014860264775,41.4706908381407,0,0
"192",5479.0485061051,-5.40932357062206,0.0839556856723555,-64.4306996875998,0,0
"193",8883.32436147938,-6.02522482164445,0.101271568568093,-59.4957193498315,0,0
"194",8201.96486682607,-5.49509765365032,0.0713706272127589,-76.9938260072901,0,0
"269",5013.05221714426,4.66502453676374,0.0733744344149105,63.578337250062,0,0
"308",1240.33132699042,5.00683920034947,0.12006917354595,41.6996224133532,0,0
"309",938.401093492042,4.36529461129334,0.114199735357736,38.2250851774643,0,0
"310",3764.88886024121,7.36295611698215,0.135187397332267,54.4648115303625,0,0
"311",2396.0682241425,7.02799942972721,0.149627861505506,46.9698581468305,0,0
"313",3539.37350539571,6.98474908815659,0.131774104440089,53.0054756800278,0,0
"315",2641.54166936681,3.4847736376619,0.0911403736086788,38.2352353812391,0,0
"318",10353.7456168982,4.33634001701909,0.0795577784153607,54.505544314971,0,0
"319",1574.71622391589,3.58094387783123,0.0872507942610917,41.0419630922272,0,0
"324",7495.28287668484,3.17308193678157,0.0757287092561189,41.900647296787,0,0
"326",6307.4730272029,3.15130549739918,0.0702932548401591,44.8308376751793,0,0
"333",2794.3972175973,-3.02131356129303,0.0717800679682929,-42.0912608027568,0,0
"345",9500.27316408064,-4.57751802287902,0.0703794555500999,-65.0405432537127,0,0
"346",2948.49455768702,-4.94627434110158,0.0955064587660023,-51.7899459891012,0,0
